image_no,file,category,subtype,score,tier,analysis_note
262,00262.webp,illustration,main_story_cut,97,S,"mid-key, warm, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
266,00266.webp,illustration,main_story_cut,97,S,Tearful close embrace uses flare and overexposed rim light; warmth is deliberately allowed to bloom to prioritize emotion over texture.
278,00278.webp,illustration,main_story_cut,97,S,Star-field/blue night image reduces physical context and uses particles as emotional atmosphere; useful for transition or memory states.
26,0026.webp,character,profile_sheet,96,S,"Primary secondary-creation anchor for Sunaookami Shiroko (Terror); white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
27,0027.webp,character,profile_sheet,96,S,"Primary secondary-creation anchor for Yozakura Kirara; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
28,0028.webp,character,profile_sheet,96,S,"Primary secondary-creation anchor for Kyougoku Satsuki; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
29,0029.webp,character,profile_sheet,96,S,"Primary secondary-creation anchor for Motomiya Chiaki; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
30,0030.webp,character,profile_sheet,96,S,"Primary secondary-creation anchor for Yurizono Seia; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
31,0031.webp,character,profile_sheet,96,S,"Primary secondary-creation anchor for Tsukatsuki Rio; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
32,0032.webp,character,profile_sheet,96,S,"Primary secondary-creation anchor for Ryuugue Kisaki; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
33,0033.webp,character,profile_sheet,96,S,"Primary secondary-creation anchor for Kayama Reijo; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
34,0034.webp,character,profile_sheet,96,S,"Primary secondary-creation anchor for Satohama Umika; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
35,0035.webp,character,profile_sheet,96,S,"Primary secondary-creation anchor for Rikuhachima Aru; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
36,0036.webp,character,profile_sheet,96,S,"Primary secondary-creation anchor for Onikata Kayoko; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
37,0037.webp,character,profile_sheet,96,S,"Primary secondary-creation anchor for Wanibuchi Akari; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
38,0038.webp,character,profile_sheet,96,S,"Primary secondary-creation anchor for Kasuga Tsubaki; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
39,0039.webp,character,profile_sheet,96,S,"Primary secondary-creation anchor for Kyouyama Kazusa; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
40,0040.webp,character,profile_sheet,96,S,"Primary secondary-creation anchor for Ibaragi Yoshimi; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
41,0041.webp,character,profile_sheet,96,S,"Primary secondary-creation anchor for Kurimura Airi; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
42,0042.webp,character,profile_sheet,96,S,"Primary secondary-creation anchor for Saiba Momoi; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
43,0043.webp,character,profile_sheet,96,S,"Primary secondary-creation anchor for Saiba Midori; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
44,0044.webp,character,profile_sheet,96,S,"Primary secondary-creation anchor for Kuromi Serika; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
45,0045.webp,character,profile_sheet,96,S,"Primary secondary-creation anchor for Ogata Kanna; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
46,0046.webp,character,profile_sheet,96,S,"Primary secondary-creation anchor for Nemugaki Fubuki; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
47,0047.webp,character,profile_sheet,96,S,"Primary secondary-creation anchor for Nakatsukasa Kirino; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
48,0048.webp,character,profile_sheet,96,S,"Primary secondary-creation anchor for Kazekura Moe; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
49,0049.webp,character,profile_sheet,96,S,"Primary secondary-creation anchor for Hakari Atsuko; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
50,0050.webp,character,profile_sheet,96,S,"Primary secondary-creation anchor for Joumae Saori; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
51,0051.webp,character,profile_sheet,96,S,"Primary secondary-creation anchor for Tsuchinaga Hiyori; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
52,0052.webp,character,profile_sheet,96,S,"Primary secondary-creation anchor for Takanashi Hoshino; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
53,0053.webp,character,profile_sheet,96,S,"Primary secondary-creation anchor for Sashiro Tomoe; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
54,0054.webp,character,profile_sheet,96,S,"Primary secondary-creation anchor for Ikekura Marina; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
55,0055.webp,character,profile_sheet,96,S,"Primary secondary-creation anchor for Iochi Mari; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
56,0056.webp,character,profile_sheet,96,S,"Primary secondary-creation anchor for Utazumi Sakurako; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
57,0057.webp,character,profile_sheet,96,S,"Primary secondary-creation anchor for Aomori Mine; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
58,0058.webp,character,profile_sheet,96,S,"Primary secondary-creation anchor for Hayase Yuuka; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
59,0059.webp,character,profile_sheet,96,S,"Primary secondary-creation anchor for Ushio Noa; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
60,0060.webp,character,profile_sheet,96,S,"Primary secondary-creation anchor for Ichinose Asuna; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
61,0061.webp,character,profile_sheet,96,S,"Primary secondary-creation anchor for Kakudate Karin; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
62,0062.webp,character,profile_sheet,96,S,"Primary secondary-creation anchor for Mikamo Neru; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
63,0063.webp,character,profile_sheet,96,S,"Primary secondary-creation anchor for Konuri Maki; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
91,0091.webp,environment,memorial_lobby_final,96,S,Bar/interior scene uses amber practicals and dark red-black framing; mature atmosphere comes from localized warm light against deep shadow.
96,0096.webp,environment,memorial_lobby_final,96,S,Night performance portrait balances warm face/instrument light with a cool sky; the guitar becomes both prop and compositional diagonal.
108,00108.webp,environment,memorial_lobby_final,96,S,Sunset portrait uses warm rim/back light and sky gradient to create nostalgia; the figure sits against high-value horizon separation.
119,00119.webp,environment,memorial_lobby_final,96,S,Warm desk/practical light isolates face and phone in an otherwise dark interior; a simple domestic action becomes narrative through lighting.
156,00156.webp,illustration,pv_cut,96,S,"Environment board establishes the core Kivotos look: high-key cyan sky, clean city depth, atmospheric perspective and bright white architecture."
158,00158.webp,illustration,pv_cut,96,S,"Urban campus boards show how signage, transit, fences and vegetation create lived-in modern school space without cluttering the focal path."
172,00172.webp,illustration,pv_cut,96,S,"Rooftop/city establishing cut uses a tiny subject against a large clean city mass, giving scale while preserving the bright-school-life tone."
180,00180.webp,illustration,pv_cut,96,S,"Shrine/sakura scene uses pink canopy, water reflection and red architectural anchors to express place identity immediately."
211,00211.webp,illustration,main_story_cut,96,S,Desert establishing shot relies on broad value simplicity and huge negative space; it is an example of environment scale overpowering the character.
218,00218.webp,illustration,main_story_cut,96,S,"Helicopter arrival uses sunset haze, strong horizon light and centered figure silhouette; scale and threat come from repeated aircraft shapes."
228,00228.webp,illustration,main_story_cut,96,S,"Blue control-room scene uses screen rectangles as secondary light sources and visual frames; tech space is defined through value blocks, not decoration."
231,00231.webp,illustration,main_story_cut,96,S,Storm/combat wide shot uses cool grays and violent diagonals to make weather part of the conflict rather than a background effect.
237,00237.webp,illustration,main_story_cut,96,S,Night deck scene uses moon/cool sky and long rails as perspective guides; moving figures read clearly because the ground plane is simplified.
263,00263.webp,illustration,main_story_cut,96,S,"mid-key, warm, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
268,00268.webp,illustration,main_story_cut,96,S,Small solitary figure against a huge sunset horizon demonstrates emotional negative space: tiny scale + warm emptiness = aftermath.
289,00289.webp,illustration,main_story_cut,96,S,Character-versus-mecha framing brings giant mechanical form close while keeping faces readable; foreground scale contrast drives urgency.
92,0092.webp,environment,memorial_lobby_final,95,S,"Pink stairwell uses receding steps, narrow vertical rails and monochrome rose light to turn an ordinary circulation space into character theater."
115,00115.webp,environment,memorial_lobby_final,95,S,"Low-key blue bedroom portrait uses quiet lamplight/window contrast; intimacy comes from small gesture, soft bedding and large shadow areas."
130,00130.webp,character,concept_design,95,S,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
131,00131.webp,character,concept_design,95,S,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
132,00132.webp,character,concept_design,95,S,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
133,00133.webp,character,concept_design,95,S,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
134,00134.webp,character,concept_design,95,S,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
135,00135.webp,character,concept_design,95,S,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
136,00136.webp,character,concept_design,95,S,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
137,00137.webp,character,concept_design,95,S,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
138,00138.webp,character,concept_design,95,S,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
139,00139.webp,character,concept_design,95,S,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
140,00140.webp,character,concept_design,95,S,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
141,00141.webp,character,concept_design,95,S,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
142,00142.webp,character,concept_design,95,S,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
143,00143.webp,character,concept_design,95,S,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
144,00144.webp,character,concept_design,95,S,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
145,00145.webp,character,concept_design,95,S,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
157,00157.webp,illustration,pv_cut,95,S,"mid-key, cool, vivid, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
161,00161.webp,illustration,pv_cut,95,S,Wet/reflection school approach uses reflected sky and walking feet to add motion and freshness; environmental storytelling through surface response.
173,00173.webp,illustration,pv_cut,95,S,"Outdoor band scene uses saturated sky, stage props and group spacing; ensemble readability comes from silhouette separation and color rhythm."
230,00230.webp,illustration,main_story_cut,95,S,Combat close action uses red accent streaks against dark violet space; diagonal energy lines make impact direction immediately readable.
245,00245.webp,illustration,main_story_cut,95,S,"low-key, warm, vivid, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
252,00252.webp,illustration,main_story_cut,95,S,"low-key, cool, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
257,00257.webp,illustration,main_story_cut,95,S,"low-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
274,00274.webp,illustration,main_story_cut,95,S,"low-key, cool, vivid, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
288,00288.webp,illustration,main_story_cut,95,S,City-versus-giant-mecha shot uses clean daylight and huge scale contrast; wide composition protects spatial clarity despite spectacle.
290,00290.webp,illustration,main_story_rough,95,S,"Process evidence: low-key, cool; compare line/rough value plan against color result to learn what survives from composition into final rendering."
294,00294.webp,illustration,main_story_rough,95,S,"Process evidence: mid-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
295,00295.webp,illustration,main_story_rough,95,S,"Process evidence: mid-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
296,00296.webp,illustration,main_story_rough,95,S,"Process evidence: mid-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
298,00298.webp,illustration,main_story_rough,95,S,"Process evidence: low-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
299,00299.webp,illustration,main_story_rough,95,S,"Process evidence: low-key, warm; compare line/rough value plan against color result to learn what survives from composition into final rendering."
159,00159.webp,illustration,pv_cut,94,A,"mid-key, cool, vivid, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
160,00160.webp,illustration,pv_cut,94,A,"mid-key, cool, vivid, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
166,00166.webp,illustration,pv_cut,94,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
106,00106.webp,environment,memorial_lobby_final,93,A,"mid-key, cool, vivid, strong-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
85,0085.webp,environment,memorial_lobby_final,92,A,"mid-key, cool, moderate, strong-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
88,0088.webp,environment,memorial_lobby_final,92,A,"mid-key, balanced, muted, strong-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
97,0097.webp,environment,memorial_lobby_final,92,A,"mid-key, cool, moderate, strong-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
101,00101.webp,environment,memorial_lobby_final,92,A,"mid-key, balanced, moderate, strong-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
104,00104.webp,environment,memorial_lobby_final,92,A,"mid-key, warm, moderate, strong-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
111,00111.webp,environment,memorial_lobby_final,92,A,"mid-key, balanced, moderate, strong-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
114,00114.webp,environment,memorial_lobby_final,92,A,"mid-key, balanced, muted, strong-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
90,0090.webp,environment,memorial_lobby_final,91,A,"mid-key, warm, vivid, medium-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
221,00221.webp,illustration,main_story_cut,91,A,"mid-key, warm, vivid, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
225,00225.webp,illustration,main_story_cut,91,A,"low-key, warm, vivid, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
247,00247.webp,illustration,main_story_cut,91,A,"low-key, cool, vivid, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
248,00248.webp,illustration,main_story_cut,91,A,"low-key, cool, vivid, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
251,00251.webp,illustration,main_story_cut,91,A,"low-key, cool, vivid, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
255,00255.webp,illustration,main_story_cut,91,A,"mid-key, balanced, vivid, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
275,00275.webp,illustration,main_story_cut,91,A,"mid-key, cool, vivid, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
83,0083.webp,environment,memorial_lobby_final,90,A,"mid-key, warm, muted, medium-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
89,0089.webp,environment,memorial_lobby_final,90,A,"mid-key, balanced, moderate, medium-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
93,0093.webp,environment,memorial_lobby_final,90,A,"high-key, balanced, muted, medium-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
95,0095.webp,environment,memorial_lobby_final,90,A,"mid-key, warm, muted, medium-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
98,0098.webp,environment,memorial_lobby_final,90,A,"mid-key, warm, moderate, medium-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
99,0099.webp,environment,memorial_lobby_final,90,A,"mid-key, cool, muted, medium-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
100,00100.webp,environment,memorial_lobby_final,90,A,"high-key, balanced, moderate, medium-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
103,00103.webp,environment,memorial_lobby_final,90,A,"high-key, cool, moderate, medium-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
105,00105.webp,environment,memorial_lobby_final,90,A,"high-key, balanced, muted, medium-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
109,00109.webp,environment,memorial_lobby_final,90,A,"mid-key, cool, moderate, medium-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
110,00110.webp,environment,memorial_lobby_final,90,A,"mid-key, balanced, muted, medium-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
112,00112.webp,environment,memorial_lobby_final,90,A,"high-key, balanced, muted, medium-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
116,00116.webp,environment,memorial_lobby_final,90,A,"mid-key, cool, moderate, medium-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
117,00117.webp,environment,memorial_lobby_final,90,A,"mid-key, balanced, muted, medium-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
118,00118.webp,environment,memorial_lobby_final,90,A,"high-key, warm, muted, medium-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
146,00146.webp,character,extra_concept_design,90,A,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
147,00147.webp,character,extra_concept_design,90,A,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
148,00148.webp,character,extra_concept_design,90,A,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
149,00149.webp,character,extra_concept_design,90,A,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
150,00150.webp,character,extra_concept_design,90,A,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
151,00151.webp,character,extra_concept_design,90,A,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
152,00152.webp,character,extra_concept_design,90,A,"high-key, warm, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
153,00153.webp,character,extra_concept_design,90,A,"high-key, cool, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
154,00154.webp,character,extra_concept_design,90,A,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
155,00155.webp,character,extra_concept_design,90,A,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
170,00170.webp,illustration,pv_cut,90,A,"mid-key, cool, vivid, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
171,00171.webp,illustration,pv_cut,90,A,"low-key, balanced, vivid, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
182,00182.webp,illustration,pv_cut,90,A,"low-key, cool, vivid, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
183,00183.webp,illustration,pv_cut,90,A,"low-key, cool, vivid, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
209,00209.webp,illustration,main_story_cut,90,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
210,00210.webp,illustration,main_story_cut,90,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
213,00213.webp,illustration,main_story_cut,90,A,"mid-key, balanced, muted, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
214,00214.webp,illustration,main_story_cut,90,A,"low-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
215,00215.webp,illustration,main_story_cut,90,A,"mid-key, cool, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
216,00216.webp,illustration,main_story_cut,90,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
217,00217.webp,illustration,main_story_cut,90,A,"mid-key, balanced, muted, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
220,00220.webp,illustration,main_story_cut,90,A,"mid-key, warm, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
222,00222.webp,illustration,main_story_cut,90,A,"mid-key, balanced, muted, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
223,00223.webp,illustration,main_story_cut,90,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
235,00235.webp,illustration,main_story_cut,90,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
236,00236.webp,illustration,main_story_cut,90,A,"low-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
241,00241.webp,illustration,main_story_cut,90,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
250,00250.webp,illustration,main_story_cut,90,A,"low-key, cool, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
253,00253.webp,illustration,main_story_cut,90,A,"mid-key, cool, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
256,00256.webp,illustration,main_story_cut,90,A,"mid-key, warm, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
260,00260.webp,illustration,main_story_cut,90,A,"mid-key, cool, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
