image_no,file,category,subtype,luma,saturation,contrast,key,temperature,saturation_class,contrast_class,learning_score,tier,analysis_note
43,0043.webp,character,profile_sheet,233.6,7.3,46.4,high-key,balanced,muted,medium-contrast,96,S,"Primary secondary-creation anchor for Saiba Midori; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
44,0044.webp,character,profile_sheet,236.6,5.8,44.9,high-key,balanced,muted,medium-contrast,96,S,"Primary secondary-creation anchor for Kuromi Serika; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
45,0045.webp,character,profile_sheet,239.5,6.3,36.0,high-key,balanced,muted,soft-contrast,96,S,"Primary secondary-creation anchor for Ogata Kanna; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
46,0046.webp,character,profile_sheet,235.8,11.2,36.7,high-key,balanced,muted,soft-contrast,96,S,"Primary secondary-creation anchor for Nemugaki Fubuki; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
47,0047.webp,character,profile_sheet,244.2,3.0,26.8,high-key,balanced,muted,soft-contrast,96,S,"Primary secondary-creation anchor for Nakatsukasa Kirino; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
48,0048.webp,character,profile_sheet,238.2,7.4,36.1,high-key,balanced,muted,soft-contrast,96,S,"Primary secondary-creation anchor for Kazekura Moe; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
49,0049.webp,character,profile_sheet,245.7,2.2,27.2,high-key,balanced,muted,soft-contrast,96,S,"Primary secondary-creation anchor for Hakari Atsuko; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
50,0050.webp,character,profile_sheet,234.2,8.6,46.2,high-key,balanced,muted,medium-contrast,96,S,"Primary secondary-creation anchor for Joumae Saori; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
51,0051.webp,character,profile_sheet,243.4,6.7,27.8,high-key,balanced,muted,soft-contrast,96,S,"Primary secondary-creation anchor for Tsuchinaga Hiyori; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
52,0052.webp,character,profile_sheet,228.6,3.9,51.8,high-key,balanced,muted,medium-contrast,96,S,"Primary secondary-creation anchor for Takanashi Hoshino; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
53,0053.webp,character,profile_sheet,242.5,7.3,31.2,high-key,balanced,muted,soft-contrast,96,S,"Primary secondary-creation anchor for Sashiro Tomoe; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
54,0054.webp,character,profile_sheet,241.9,7.2,34.8,high-key,balanced,muted,soft-contrast,96,S,"Primary secondary-creation anchor for Ikekura Marina; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
55,0055.webp,character,profile_sheet,230.4,8.4,53.5,high-key,balanced,muted,medium-contrast,96,S,"Primary secondary-creation anchor for Iochi Mari; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
56,0056.webp,character,profile_sheet,227.4,5.9,52.8,high-key,balanced,muted,medium-contrast,96,S,"Primary secondary-creation anchor for Utazumi Sakurako; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
57,0057.webp,character,profile_sheet,226.7,8.4,53.5,high-key,balanced,muted,medium-contrast,96,S,"Primary secondary-creation anchor for Aomori Mine; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
58,0058.webp,character,profile_sheet,240.3,4.6,37.1,high-key,balanced,muted,soft-contrast,96,S,"Primary secondary-creation anchor for Hayase Yuuka; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
59,0059.webp,character,profile_sheet,241.2,3.8,35.4,high-key,balanced,muted,soft-contrast,96,S,"Primary secondary-creation anchor for Ushio Noa; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
60,0060.webp,character,profile_sheet,235.6,5.9,44.4,high-key,balanced,muted,medium-contrast,96,S,"Primary secondary-creation anchor for Ichinose Asuna; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
61,0061.webp,character,profile_sheet,219.8,15.3,66.2,high-key,balanced,muted,medium-contrast,96,S,"Primary secondary-creation anchor for Kakudate Karin; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
62,0062.webp,character,profile_sheet,232.7,8.6,47.0,high-key,balanced,muted,medium-contrast,96,S,"Primary secondary-creation anchor for Mikamo Neru; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
63,0063.webp,character,profile_sheet,229.4,12.0,51.6,high-key,balanced,muted,medium-contrast,96,S,"Primary secondary-creation anchor for Konuri Maki; white-ground sheet exposes silhouette, SD views, weapon/accessory and palette with minimal lighting ambiguity."
64,0064.webp,character,extra_character_sheet,222.1,10.6,65.0,high-key,balanced,muted,medium-contrast,82,B,Multi-character/variant reference page; preserve as an ensemble/variant source. Do not split or assign names unless identity is confidently verified.
65,0065.webp,character,extra_character_sheet,233.4,14.6,51.2,high-key,balanced,muted,medium-contrast,82,B,Multi-character/variant reference page; preserve as an ensemble/variant source. Do not split or assign names unless identity is confidently verified.
66,0066.webp,character,extra_character_sheet,232.9,4.3,53.0,high-key,balanced,muted,medium-contrast,82,B,Multi-character/variant reference page; preserve as an ensemble/variant source. Do not split or assign names unless identity is confidently verified.
67,0067.webp,character,extra_character_sheet,235.5,8.7,50.7,high-key,balanced,muted,medium-contrast,82,B,Multi-character/variant reference page; preserve as an ensemble/variant source. Do not split or assign names unless identity is confidently verified.
68,0068.webp,character,extra_character_sheet,239.5,8.2,37.5,high-key,balanced,muted,soft-contrast,82,B,Multi-character/variant reference page; preserve as an ensemble/variant source. Do not split or assign names unless identity is confidently verified.
69,0069.webp,character,extra_character_sheet,225.6,12.9,61.5,high-key,balanced,muted,medium-contrast,82,B,Multi-character/variant reference page; preserve as an ensemble/variant source. Do not split or assign names unless identity is confidently verified.
70,0070.webp,character,extra_character_sheet,238.4,3.2,40.0,high-key,balanced,muted,medium-contrast,82,B,Multi-character/variant reference page; preserve as an ensemble/variant source. Do not split or assign names unless identity is confidently verified.
71,0071.webp,character,extra_character_sheet,230.8,7.3,52.7,high-key,balanced,muted,medium-contrast,82,B,Multi-character/variant reference page; preserve as an ensemble/variant source. Do not split or assign names unless identity is confidently verified.
72,0072.webp,character,extra_character_sheet,242.0,6.5,32.0,high-key,balanced,muted,soft-contrast,82,B,Multi-character/variant reference page; preserve as an ensemble/variant source. Do not split or assign names unless identity is confidently verified.
73,0073.webp,character,extra_character_sheet,240.4,4.6,39.0,high-key,balanced,muted,medium-contrast,82,B,Multi-character/variant reference page; preserve as an ensemble/variant source. Do not split or assign names unless identity is confidently verified.
74,0074.webp,character,extra_character_sheet,240.5,7.2,40.3,high-key,balanced,muted,medium-contrast,82,B,Multi-character/variant reference page; preserve as an ensemble/variant source. Do not split or assign names unless identity is confidently verified.
75,0075.webp,character,extra_character_sheet,241.9,5.0,35.5,high-key,balanced,muted,soft-contrast,82,B,Multi-character/variant reference page; preserve as an ensemble/variant source. Do not split or assign names unless identity is confidently verified.
76,0076.webp,character,extra_character_sheet,243.9,4.5,30.7,high-key,balanced,muted,soft-contrast,82,B,Multi-character/variant reference page; preserve as an ensemble/variant source. Do not split or assign names unless identity is confidently verified.
77,0077.webp,character,extra_character_sheet,244.0,4.2,32.0,high-key,balanced,muted,soft-contrast,82,B,Multi-character/variant reference page; preserve as an ensemble/variant source. Do not split or assign names unless identity is confidently verified.
78,0078.webp,character,extra_character_sheet,228.1,7.8,60.2,high-key,balanced,muted,medium-contrast,82,B,Multi-character/variant reference page; preserve as an ensemble/variant source. Do not split or assign names unless identity is confidently verified.
79,0079.webp,character,extra_character_sheet,228.5,11.0,61.5,high-key,balanced,muted,medium-contrast,82,B,Multi-character/variant reference page; preserve as an ensemble/variant source. Do not split or assign names unless identity is confidently verified.
80,0080.webp,character,extra_character_sheet,225.8,13.5,60.2,high-key,balanced,muted,medium-contrast,82,B,Multi-character/variant reference page; preserve as an ensemble/variant source. Do not split or assign names unless identity is confidently verified.
81,0081.webp,divider,memorial_lobby,217.4,34.4,54.4,high-key,cool,muted,medium-contrast,20,C,"Reference page; high-key, cool, muted."
82,0082.webp,environment,memorial_lobby_final,171.4,52.6,63.4,mid-key,cool,moderate,medium-contrast,98,S,Canted aerial/rooftop view uses cool violet-blue depth and wind-driven hair to make solitude feel expansive rather than static.
83,0083.webp,environment,memorial_lobby_final,184.6,34.3,64.2,mid-key,warm,muted,medium-contrast,90,A,"mid-key, warm, muted, medium-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
84,0084.webp,environment,memorial_lobby_final,132.3,78.9,82.5,mid-key,warm,moderate,strong-contrast,97,S,Warm side light cuts into a dark room; intimate low-key staging turns red/orange light into emotional pressure around the subject.
85,0085.webp,environment,memorial_lobby_final,171.7,51.7,78.0,mid-key,cool,moderate,strong-contrast,92,A,"mid-key, cool, moderate, strong-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
86,0086.webp,environment,memorial_lobby_final,226.9,24.8,29.7,high-key,warm,muted,soft-contrast,89,A,"high-key, warm, muted, soft-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
87,0087.webp,environment,memorial_lobby_final,129.3,111.5,91.6,mid-key,cool,vivid,strong-contrast,97,S,Deep-blue office/night interior uses hard vertical architecture and cool pools of light to isolate the seated figure and emphasize control.
88,0088.webp,environment,memorial_lobby_final,119.5,35.9,83.8,mid-key,balanced,muted,strong-contrast,92,A,"mid-key, balanced, muted, strong-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
89,0089.webp,environment,memorial_lobby_final,181.9,57.0,59.5,mid-key,balanced,moderate,medium-contrast,90,A,"mid-key, balanced, moderate, medium-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
90,0090.webp,environment,memorial_lobby_final,175.3,102.3,60.6,mid-key,warm,vivid,medium-contrast,91,A,"mid-key, warm, vivid, medium-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
91,0091.webp,environment,memorial_lobby_final,130.4,132.4,83.2,mid-key,warm,vivid,strong-contrast,96,S,Bar/interior scene uses amber practicals and dark red-black framing; mature atmosphere comes from localized warm light against deep shadow.
92,0092.webp,environment,memorial_lobby_final,163.8,51.8,66.8,mid-key,warm,moderate,medium-contrast,95,S,"Pink stairwell uses receding steps, narrow vertical rails and monochrome rose light to turn an ordinary circulation space into character theater."
93,0093.webp,environment,memorial_lobby_final,195.7,28.1,61.7,high-key,balanced,muted,medium-contrast,90,A,"high-key, balanced, muted, medium-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
94,0094.webp,environment,memorial_lobby_final,130.9,120.1,78.9,mid-key,cool,vivid,strong-contrast,97,S,Rooftop/night rest pose uses cool blue negative space and a simple curled body shape; calm is created by low visual noise and a large dark field.
95,0095.webp,environment,memorial_lobby_final,186.5,41.1,59.6,mid-key,warm,muted,medium-contrast,90,A,"mid-key, warm, muted, medium-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
96,0096.webp,environment,memorial_lobby_final,143.7,73.7,78.2,mid-key,balanced,moderate,strong-contrast,96,S,Night performance portrait balances warm face/instrument light with a cool sky; the guitar becomes both prop and compositional diagonal.
97,0097.webp,environment,memorial_lobby_final,157.1,71.5,73.2,mid-key,cool,moderate,strong-contrast,92,A,"mid-key, cool, moderate, strong-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
98,0098.webp,environment,memorial_lobby_final,180.2,71.3,63.9,mid-key,warm,moderate,medium-contrast,90,A,"mid-key, warm, moderate, medium-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
99,0099.webp,environment,memorial_lobby_final,187.7,33.3,61.1,mid-key,cool,muted,medium-contrast,90,A,"mid-key, cool, muted, medium-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
100,00100.webp,environment,memorial_lobby_final,205.2,61.7,53.3,high-key,balanced,moderate,medium-contrast,90,A,"high-key, balanced, moderate, medium-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
101,00101.webp,environment,memorial_lobby_final,185.1,62.0,73.3,mid-key,balanced,moderate,strong-contrast,92,A,"mid-key, balanced, moderate, strong-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
102,00102.webp,environment,memorial_lobby_final,225.6,28.4,34.1,high-key,balanced,muted,soft-contrast,89,A,"high-key, balanced, muted, soft-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
103,00103.webp,environment,memorial_lobby_final,203.0,60.7,45.1,high-key,cool,moderate,medium-contrast,90,A,"high-key, cool, moderate, medium-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
104,00104.webp,environment,memorial_lobby_final,137.8,58.9,74.9,mid-key,warm,moderate,strong-contrast,92,A,"mid-key, warm, moderate, strong-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
105,00105.webp,environment,memorial_lobby_final,197.2,36.4,52.5,high-key,balanced,muted,medium-contrast,90,A,"high-key, balanced, muted, medium-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
106,00106.webp,environment,memorial_lobby_final,133.8,116.9,76.1,mid-key,cool,vivid,strong-contrast,93,A,"mid-key, cool, vivid, strong-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
107,00107.webp,environment,memorial_lobby_final,222.8,30.0,29.9,high-key,balanced,muted,soft-contrast,89,A,"high-key, balanced, muted, soft-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
108,00108.webp,environment,memorial_lobby_final,191.7,70.7,54.4,mid-key,warm,moderate,medium-contrast,96,S,Sunset portrait uses warm rim/back light and sky gradient to create nostalgia; the figure sits against high-value horizon separation.
109,00109.webp,environment,memorial_lobby_final,190.8,64.3,53.4,mid-key,cool,moderate,medium-contrast,90,A,"mid-key, cool, moderate, medium-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
110,00110.webp,environment,memorial_lobby_final,190.9,36.8,65.0,mid-key,balanced,muted,medium-contrast,90,A,"mid-key, balanced, muted, medium-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
111,00111.webp,environment,memorial_lobby_final,115.2,61.7,84.8,mid-key,balanced,moderate,strong-contrast,92,A,"mid-key, balanced, moderate, strong-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
112,00112.webp,environment,memorial_lobby_final,213.0,17.1,48.1,high-key,balanced,muted,medium-contrast,90,A,"high-key, balanced, muted, medium-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
113,00113.webp,environment,memorial_lobby_final,191.0,39.7,66.4,mid-key,cool,muted,medium-contrast,97,S,Strong white backlight plus wing-like costume shapes create an almost icon-like silhouette; a high-key scene can still have strong hierarchy.
114,00114.webp,environment,memorial_lobby_final,171.1,44.5,70.9,mid-key,balanced,muted,strong-contrast,92,A,"mid-key, balanced, muted, strong-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
115,00115.webp,environment,memorial_lobby_final,147.8,96.0,71.4,mid-key,cool,vivid,strong-contrast,95,S,"Low-key blue bedroom portrait uses quiet lamplight/window contrast; intimacy comes from small gesture, soft bedding and large shadow areas."
116,00116.webp,environment,memorial_lobby_final,182.3,60.8,66.9,mid-key,cool,moderate,medium-contrast,90,A,"mid-key, cool, moderate, medium-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
117,00117.webp,environment,memorial_lobby_final,168.1,36.5,62.6,mid-key,balanced,muted,medium-contrast,90,A,"mid-key, balanced, muted, medium-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
118,00118.webp,environment,memorial_lobby_final,213.2,35.8,41.4,high-key,warm,muted,medium-contrast,90,A,"high-key, warm, muted, medium-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
119,00119.webp,environment,memorial_lobby_final,147.8,105.2,72.8,mid-key,warm,vivid,strong-contrast,96,S,Warm desk/practical light isolates face and phone in an otherwise dark interior; a simple domestic action becomes narrative through lighting.
120,00120.webp,environment,memorial_lobby_rough,203.6,27.0,69.4,high-key,balanced,muted,medium-contrast,86,B,"high-key, balanced; rough-to-final planning evidence. Useful for studying pose, crop, value grouping and how character/environment relationships are fixed before detail."
121,00121.webp,environment,memorial_lobby_rough,179.3,54.9,88.1,mid-key,warm,moderate,strong-contrast,86,B,"mid-key, warm; rough-to-final planning evidence. Useful for studying pose, crop, value grouping and how character/environment relationships are fixed before detail."
122,00122.webp,environment,memorial_lobby_rough,192.9,31.8,73.0,mid-key,balanced,muted,strong-contrast,86,B,"mid-key, balanced; rough-to-final planning evidence. Useful for studying pose, crop, value grouping and how character/environment relationships are fixed before detail."
123,00123.webp,environment,memorial_lobby_rough,217.5,21.2,56.3,high-key,balanced,muted,medium-contrast,86,B,"high-key, balanced; rough-to-final planning evidence. Useful for studying pose, crop, value grouping and how character/environment relationships are fixed before detail."
124,00124.webp,environment,memorial_lobby_rough,221.3,27.4,51.6,high-key,balanced,muted,medium-contrast,86,B,"high-key, balanced; rough-to-final planning evidence. Useful for studying pose, crop, value grouping and how character/environment relationships are fixed before detail."
125,00125.webp,environment,memorial_lobby_rough,182.0,67.2,76.8,mid-key,balanced,moderate,strong-contrast,86,B,"mid-key, balanced; rough-to-final planning evidence. Useful for studying pose, crop, value grouping and how character/environment relationships are fixed before detail."
126,00126.webp,environment,memorial_lobby_rough,192.1,29.0,60.9,mid-key,balanced,muted,medium-contrast,86,B,"mid-key, balanced; rough-to-final planning evidence. Useful for studying pose, crop, value grouping and how character/environment relationships are fixed before detail."
